Name;Age;Rating;Nationality;Club;Position;Potential;Value;Total Stats
T. Blackett;26;69;England;Nottingham Forest;LB;70;1100000;1784
G. van Velzen;26;62;Netherlands;Crawley Town;LM;63;350000;1540
Héber;28;71;Brazil;New York City FC;ST;71;2400000;1703
Wellington Nem;27;71;Brazil;Shakhtar Donetsk;CAM;71;2500000;1767
V. Germain;30;74;France;Olympique de Marseille;CAM;74;5500000;1945
E. Harrison;26;65;Wales;Portsmouth;ST;66;650000;1764
M. Clayton;23;62;England;Blackpool;RW;67;400000;1557
Cortez;29;72;Brazil;Albirex Niigata;LWB;72;1600000;1971
A. Carrillo;29;79;Peru;Peru;RM;79;12500000;1954
B. Assombalonga;27;70;DR Congo;Middlesbrough;ST;71;2100000;1761
G. Teigl B;29;68;Austria;FK Austria Wien;RB;68;750000;1815
Gilberto Souza;24;66;Brazil;Philadelphia Union;CDM;73;500000;1735
Rodrigo Caio;21;75;Brazil;São Paulo;CB;80;4700000;1893
A. Galabinov;31;66;Bulgaria;Spezia;ST;66;575000;1547
S. Hoskins;27;65;England;Northampton Town;RM;65;575000;1704
T. Pietermaat;27;66;Belgium;Beerschot AC;CB;67;650000;1641
L. Isgrove;27;65;Wales;Bolton Wanderers;RM;65;575000;1596
A. Morgan;29;64;Canada;Real Salt Lake;LB;64;375000;1661
Thiago Galhardo;27;70;Brazil;Albirex Niigata;RM;70;1900000;1956
S. Carruthers;26;63;Republic of Ireland;Cambridge United;RM;64;425000;1734
R. Hall;26;65;England;Oxford United;RM;66;625000;1693
D. Potts;26;66;England;Luton Town;CB;68;675000;1627
M. Elyounoussi;25;75;Norway;Celtic;LM;76;8000000;1977
G. Valsvik;27;67;Norway;Rosenborg BK;CB;70;825000;1514
E. Andersen;27;67;Norway;Molde FK;LM;67;800000;1795
V. van Dijk;28;90;Netherlands;Liverpool;CB;91;75500000;2112
Tiago Alves;27;68;Brazil;Sagan Tosu;LM;68;950000;1830
E. Gnahoré;26;73;France;Wuhan Zall;CM;75;4800000;1939
D. Williams;27;68;Republic of Ireland;Blackburn Rovers;CB;71;975000;1677
O. Bouy;27;61;Netherlands;Leeds United;CM;62;250000;1755
J. Reeves;26;63;England;Bradford City;CAM;66;450000;1754
L. Norris;27;63;England;Colchester United;ST;64;425000;1550
E. Whitehouse;26;62;England;Forest Green Rovers;ST;64;350000;1778
K. Løkberg;28;66;Norway;Viking FK;CM;66;650000;1858
E. Hewitt;26;64;Wales;Grimsby Town;RWB;66;475000;1649
G. Ray;26;58;Wales;Tranmere Rovers;CB;59;130000;1246
Leandro;27;70;Brazil;FC Tokyo;LW;70;1900000;1855
I. Diomandé;27;72;Ivory Coast;Çaykur Rizespor;CDM;73;3200000;1828
M. Storey;23;62;England;Partick Thistle FC;ST;66;400000;1586
B. Kessel;32;68;Germany;Eintracht Braunschweig;CB;68;550000;1777
A. Schalk;27;65;Netherlands;Servette FC;ST;65;575000;1693
O. Kragl;30;73;Germany;Benevento;LM;73;3800000;1919
A. Ajeti;26;62;Albania;Vejle Boldklub;CB;66;350000;1519
H. Kryeziu;27;67;Kosovo;FC Zürich;CDM;70;825000;1855
Santos;25;68;Brazil;Club Athletico Paranaense;GK;70;875000;1137
D. Klaassen;27;77;Netherlands;SV Werder Bremen;CM;78;10000000;2062
T. Kongolo;26;71;Netherlands;Huddersfield Town;CB;74;2600000;1798
T. Hazard;27;83;Belgium;Borussia Dortmund;LM;83;27000000;2107
J. Lascelles;26;77;England;Newcastle United;CB;81;10000000;1607
A. O'Brien;26;68;Republic of Ireland;Sunderland;LM;69;1100000;1731
D. Rose;26;63;England;Mansfield Town;ST;65;450000;1740
B. Decordova-Reid;27;72;Jamaica;Fulham;ST;73;3600000;1965
J. Bryan;26;74;England;Fulham;LB;75;5500000;2016
L. Bangoura;28;65;Guinea;Rayo Vallecano;RW;65;550000;1653
T. Vilhena;24;78;Netherlands;Netherlands;CM;82;0;2139
S. Ameobi;28;72;England;Nottingham Forest;LM;72;3100000;1728
J. Wießmeier;27;64;Germany;SV Ried;CAM;65;525000;1651
C. Löwe;31;71;Germany;SG Dynamo Dresden;LB;71;1700000;1932
A. Florenzi;29;81;Italy;Paris Saint-Germain;RB;81;14500000;2227
P. Wszołek;28;70;Poland;Legia Warszawa;RM;70;1800000;1842
S. Dallas;29;73;Northern Ireland;Leeds United;LB;73;3300000;1933
J. Stones;26;80;England;Manchester City;CB;83;16500000;1845
D. Abramowicz;29;62;Poland;Wisła Kraków;LB;62;250000;1549
I. Balliu;28;73;Albania;UD Almería;RB;73;3400000;1875
Q. Martinus;29;66;Curacao;Urawa Red Diamonds;RM;66;625000;1782
F. Hübner;29;72;Germany;1. FC Union Berlin;CB;73;2900000;1551
P. Kadeřábek;28;80;Czech Republic;TSG 1899 Hoffenheim;RWB;80;12500000;1996
J. Skalák;28;67;Czech Republic;Millwall;LM;67;775000;1739
Gilberto;28;72;Brazil;Yeni Malatyaspor;ST;72;3200000;1789
T. Kainz;27;67;Austria;TSV Hartberg;CDM;69;800000;1829
V. Sielis;29;70;Cyprus;Jeju United FC;CB;70;1500000;1757
O. Vranješ;30;71;Bosnia Herzegovina;RSC Anderlecht;CB;71;1900000;1807
A. Martynovich;29;75;Belarus;FC Krasnodar;CB;75;5000000;1754
Joãozinho;28;78;Brazil;FC Krasnodar;CAM;78;10500000;2068
M. Bruno;26;73;Belgium;Sporting de Charleroi;CAM;74;4700000;1894
J. Arroé;28;68;Peru;Alianza Lima;LW;68;900000;1576
A. Donnarumma;29;73;Italy;Brescia;ST;73;4000000;1805
C. Galano;28;70;Italy;Pescara;LM;70;1800000;1827
G. Courtet;31;70;France;AC Ajaccio;ST;70;1600000;1779
V. Misidjan;26;72;Netherlands;1. FC Nürnberg;RM;72;3300000;1752
José Ángel;28;66;Spain;FC Cartagena;CM;66;650000;1800
S. Bahoken;28;73;Cameroon;Angers SCO;ST;73;4100000;1702
T. Delaine;28;73;France;FC Metz;LB;73;3400000;1892
Jon Toral;25;67;Spain;Birmingham City;CAM;70;950000;1736
Héctor Bellerín B;25;80;Spain;Arsenal;RB;85;17500000;1966
C. Townsend;27;71;England;West Bromwich Albion;LB;72;2400000;1786
M. Zeitz;29;65;Germany;1. FC Saarbrücken;CDM;65;475000;1718
M. Smith;31;69;England;Millwall;ST;69;950000;1568
Zé Luís;29;77;Cape Verde;FC Porto;ST;77;9000000;1889
A. El Shenawy;29;72;Egypt;Egypt;GK;73;0;1137
Welthon;28;69;Brazil;Vitória Guimarães;ST;69;1100000;1822
L. Karius;27;78;Germany;1. FC Union Berlin;GK;81;9000000;1263
A. Benali;28;71;Libya;Crotone;CAM;71;2400000;1871
T. Smith;28;72;England;Stoke City;RB;72;2700000;1796
A. Jóhannsson;29;69;United States;Hammarby IF;ST;69;1100000;1742
B. Romo;31;68;Chile;FC Juárez;CB;68;675000;1451
F. Gutiérrez;29;74;Chile;Sporting Kansas City;CM;74;5500000;1984
F. Seymour;32;68;Chile;Unión La Calera;CDM;68;575000;1797
F. Silva;34;72;Chile;Universidad Católica;CDM;72;1200000;1829
A. Pierre;27;66;Grenada;Shrewsbury;CB;68;675000;1575
P. Delecroix;31;65;France;FC Metz;GK;65;350000;1097
R. Matthews;26;67;England;Sunderland;GK;70;700000;1170
G. Korte;29;66;Germany;SV Wehen Wiesbaden;LW;66;625000;1721
N. Pope;28;82;England;Burnley;GK;83;18500000;1264
D. Suárez;32;80;Uruguay;Getafe CF;RB;80;9000000;2135
Kelvin;23;73;Brazil;FC Porto;LW;77;3700000;1752
D. Drescher;30;63;Austria;SKN St. Pölten;CB;63;300000;1257
M. Sax;27;67;Austria;FK Austria Wien;RM;67;800000;1731
L. Aveldaño;33;69;Argentina;Deportes Iquique;CB;69;500000;1600
L. Fariña;27;68;Argentina;CD Aves;RW;68;950000;1771
B. Zuculini;27;73;Argentina;River Plate;CDM;76;4400000;1953
G. Hauche;33;75;Argentina;Argentinos Juniors;LW;75;4000000;1947
D. Maatsen;29;65;Netherlands;Stabæk Fotball;RW;65;525000;1662
K. Djidji;27;72;Ivory Coast;Torino;CB;74;3300000;1620
C. Alhadhur;28;68;Comoros;La Berrichonne de Châteauroux;RB;68;775000;1704
A. Trebel;29;73;France;RSC Anderlecht;CM;73;3800000;2022
Eric Botteghin;32;73;Brazil;Feyenoord;CB;73;2600000;1497
S. Vrsaljko;28;80;Croatia;Atlético Madrid;RB;80;12500000;2051
Pozuelo;28;79;Spain;Toronto FC;CAM;79;12500000;1999
A. Luna;28;65;Uruguay;Melbourne City FC;RW;65;550000;1755
L. Andersen;25;76;Denmark;Aalborg BK;CAM;77;9000000;1856
A. Knockaert;28;74;France;Fulham;RW;74;5500000;1954
R. Fernández;34;71;Peru;Deportivo Binacional;GK;71;1000000;1115
J. Fjóluson;31;70;Iceland;SK Brann;CB;70;1300000;1674
O. Cissé;29;64;Mali;Leyton Orient;CB;64;375000;1590
V. Fischer;26;74;Denmark;FC København;LM;75;6500000;1875
D. Kempe;34;67;Germany;SV Wehen Wiesbaden;LB;67;275000;1730
E. Seidou;26;61;France;Red Star FC;LWB;62;240000;1685
M. Bakalorz;30;70;Germany;Denizlispor;CB;70;1500000;1907
K. Fortounis;27;77;Greece;Olympiacos CFP;CAM;78;10000000;1999
C. Kramer;29;78;Germany;Borussia Mönchengladbach;CDM;78;9000000;1852
N. Devlin;26;66;Scotland;Livingston FC;RB;67;650000;1768
E. Dilaver;29;72;Austria;Çaykur Rizespor;CB;72;2600000;1797
M. Kobylański;26;68;Poland;Eintracht Braunschweig;CAM;71;1100000;1804
S. Vergini;31;68;Argentina;San Lorenzo de Almagro;CB;68;675000;1550
T. Chery;30;72;Netherlands;Kayserispor;CAM;72;2900000;1861
D. Keet;30;68;South Africa;Oud-Heverlee Leuven;GK;68;600000;1190
Gerard Badía;30;68;Spain;Piast Gliwice;LM;68;850000;1740
M. Niang;25;78;Senegal;Stade Rennais FC;ST;81;13000000;1869
R. Wolski;27;66;Poland;Wisła Płock;CAM;67;750000;1715
J. Brooks;27;76;United States;VfL Wolfsburg;CB;79;8500000;1704
Mikel Iribas;32;68;Spain;CF Fuenlabrada;RB;68;550000;1798
J. Blaswich;29;73;Germany;Heracles Almelo;GK;75;3400000;1221
R. Jackson;29;65;England;Gillingham;RB;65;450000;1769
Amido Baldé;26;65;Guinea Bissau;Clube Sport Marítimo;ST;66;650000;1508
Y. Ayoub;26;71;Morocco;Panathinaikos FC;LM;73;2800000;1996
U. Đerić;27;71;Serbia;Gyeongnam FC;ST;71;2500000;1626
K. Lala;28;79;France;RC Strasbourg Alsace;RWB;79;11000000;2078
T. Vaclík;31;82;Czech Republic;Sevilla FC;GK;82;14000000;1288
J. Brabec;27;74;Czech Republic;Viktoria Plzeň;CB;76;6000000;1824
J. Bořil;29;78;Czech Republic;SK Slavia Praha;LB;78;8500000;2036
K. Escamilla;26;65;Mexico;Querétaro;CDM;69;625000;1678
M. de Leeuw;33;70;Netherlands;FC Emmen;ST;70;1100000;1882
R. Ligeon;26;66;Netherlands;De Graafschap;RWB;67;625000;1715
J. Jønsson;27;70;Denmark;Cádiz CF;CDM;70;1600000;1844
Y. Stark;29;70;Germany;SG Dynamo Dresden;CDM;70;1500000;1927
J. Okore;27;70;Denmark;Aalborg BK;CB;71;1800000;1720
A. Ludwig;27;67;Denmark;AC Horsens;CB;69;800000;1693
A. Tonev;30;66;Bulgaria;Bulgaria;LM;66;0;1769
S. Diallo;28;68;Guinea;Gençlerbirliği SK;CAM;68;900000;1892
T. Trybull;27;72;Germany;Norwich City;CDM;73;3200000;1856
F. Gardoș;31;65;Romania;Academica Clinceni;CB;65;400000;1501
P. Papp;30;65;Romania;Universitatea Craiova;CB;65;425000;1664
A. Reach;27;72;England;Sheffield Wednesday;CAM;72;3300000;1942
C. Wyke;27;64;England;Sunderland;ST;64;475000;1596
A. Jackson;26;65;England;Lincoln City;CB;69;625000;1426
C. Edwards;26;66;England;Djurgårdens IF;CM;69;775000;1842
M. Dolan;27;58;England;Newport County;CAM;58;130000;1664
D. Lezcano;30;74;Paraguay;Paraguay;ST;74;5500000;2004
C. Musonda;23;73;Belgium;Chelsea;CAM;79;5500000;1639
Edgar Badía;28;73;Spain;Elche CF;GK;76;3600000;1137
B. Reynet;29;75;France;Nîmes Olympique;GK;75;4700000;1177
M. Barreto;29;68;France;AC Ajaccio;RM;68;875000;1732
M. Bettinelli;28;71;England;Middlesbrough;GK;73;2100000;1103
K. Frei;26;72;Turkey;Medipol Başakşehir FK;RW;73;3700000;1827
M. Trotta;26;71;Italy;Ascoli;ST;72;2800000;1781
S. Arias;28;81;Colombia;Bayer 04 Leverkusen;RB;81;15000000;2026
L. Polworth;25;66;Scotland;Motherwell;CAM;70;825000;1815
T. Hemed;32;68;Israel;Charlton Athletic;ST;68;725000;1662
Roque Mesa;31;77;Spain;Sevilla FC;CDM;77;7500000;1988
David Simón;30;70;Spain;FC Cartagena;RB;70;1400000;1778
Cristian Herrera;29;67;Spain;CD Lugo;ST;67;750000;1820
S. Berahino;26;71;Burundi;SV Zulte-Waregem;CAM;72;2800000;1765
A. O'Connor;27;64;Republic of Ireland;Bradford City;CB;65;450000;1670
J. Korb;27;72;Germany;Hannover 96;RWB;72;2800000;1852
H. Van Crombrugge;27;77;Belgium;RSC Anderlecht;GK;79;7500000;1281
K. Zouma;25;80;France;Chelsea;CB;83;16500000;1887
Pak Kwang Ryong;26;66;Korea DPR;SKN St. Pölten;ST;67;775000;1723
R. McKenzie;26;67;Scotland;Kilmarnock;LM;68;900000;1817
M. Kennedy;25;67;Northern Ireland;Aberdeen;RM;70;950000;1770
Luís Neto;32;75;Portugal;Sporting CP;CB;75;4300000;1720
Fede Vico;25;74;Spain;Granada CF;CAM;77;7000000;1884
Bernardo;26;67;Spain;Granada CF;CB;70;850000;1444
A. Trajkovski;27;69;North Macedonia;RCD Mallorca;CAM;69;1100000;1745
D. Arslanagic;27;72;Belgium;KAA Gent;CB;74;3300000;1550
C. Forsyth;31;70;Scotland;Derby County;LB;70;1300000;1801
J. Alnwick;27;66;England;St. Mirren;GK;69;575000;1245
P. Dummett;28;75;Wales;Newcastle United;CB;76;6500000;1815
C. Newton;24;63;England;Cambridge United;RM;68;450000;1762
S. Kehli;29;64;France;Oud-Heverlee Leuven;CAM;64;450000;1572
J. Locadia;26;75;Netherlands;FC Cincinnati;ST;78;8500000;1878
B. van Leer;28;69;Netherlands;Sparta Rotterdam;GK;70;875000;1178
S. van de Streek;27;70;Netherlands;FC Utrecht;CAM;70;1900000;1920
E. Başsan;28;71;Turkey;BB Erzurumspor;RM;71;2400000;1776
J. Brinkies;27;68;Germany;FSV Zwickau;GK;72;825000;1180
S. García;29;76;Uruguay;Godoy Cruz;ST;76;7500000;1868
D. Koppers;26;66;Netherlands;PEC Zwolle;LB;67;625000;1763
Juan Carlos;29;73;Spain;SD Huesca;CAM;73;3800000;1859
A. Wiegel;28;68;Germany;Waasland-Beveren;RB;68;775000;1875
E. Gyasi;28;70;Ghana;FC Dallas;LW;70;1800000;1755
E. Zahavi;32;81;Israel;PSV;ST;81;14000000;2068
Diogo Figueiras;29;74;Portugal;SC Braga;RWB;74;4600000;1930
F. Erazo;30;73;Ecuador;Ecuador;CB;73;0;1503
G. Saville;27;69;Northern Ireland;Middlesbrough;CM;70;1200000;1958
J. Sternberg;27;64;Germany;Hallescher FC;LB;65;450000;1707
C. Diop;26;65;Senegal;Montreal Impact;GK;68;500000;1039
M. Smith;31;69;Northern Ireland;Northern Ireland;RB;69;0;1796
P. Diamanka;30;68;Senegal;Albacete BP;CDM;68;825000;1860
K. Günter;25;71;Germany;Hellas Verona;CB;76;2800000;1601
A. Oshilaja;27;66;England;Charlton Athletic;CB;68;675000;1536
B. Nugent;25;61;England;Stevenage;CB;64;275000;1292
J. Ralls;26;72;England;Cardiff City;CM;74;3700000;1977
B. Sarr;28;77;France;Olympique de Marseille;RB;77;7500000;2088
Dani Nieto;28;71;Spain;Independiente del Valle;CAM;71;2400000;1775
T. Beugelsdijk;29;66;Netherlands;Sparta Rotterdam;CB;66;550000;1456
R. Mahrez;29;85;Algeria;Manchester City;RW;85;37500000;2034
S. Elbers;28;65;Netherlands;FC Hermannstadt;RM;65;550000;1645
P. Breier;28;65;Germany;FC Hansa Rostock;ST;65;550000;1701
R. Holzhauser;27;71;Austria;Beerschot AC;CM;72;2700000;1950
P. Bauer;27;73;Germany;Preston North End;CB;75;4200000;1573
K. Stöger;25;77;Austria;Fortuna Düsseldorf;CAM;78;10500000;1862
R. Inniss;25;64;England;Crystal Palace;CB;66;500000;1376
D. Leadbitter;29;60;England;Newport County;RB;60;170000;1496
M. Ingram;26;65;England;Hull City;GK;69;500000;1022
F. Lewis;26;69;Netherlands;Willem II;RB;70;1100000;1817
M. van Buren;27;69;Netherlands;SK Slavia Praha;ST;69;1100000;1783
M. Dupé;27;71;France;Toulouse Football Club;GK;73;2000000;1097
S. Sama;27;61;Germany;Accrington Stanley;CB;63;275000;1306
C. Martina;29;68;Curacao;Everton;RB;68;750000;1833
Rubén Pardo;27;72;Spain;CD Leganés;CM;72;3200000;1864
Iñigo Martínez;29;80;Spain;Athletic Club de Bilbao;CB;81;14000000;1969
Hervías;27;73;Spain;Real Valladolid CF;RM;73;4200000;1788
M. Batshuayi;26;78;Belgium;Crystal Palace;ST;81;13000000;1857
R. Ruidíaz;29;77;Peru;Seattle Sounders FC;ST;77;9000000;1913
L. Advíncula;30;74;Peru;Rayo Vallecano;RB;74;4400000;2083
G. Carmona;34;65;Peru;Sport Huancayo;RB;65;190000;1565
Y. Yotún;30;72;Peru;Peru;CM;72;2600000;1999
D. Roef;26;72;Belgium;KAA Gent;GK;75;2800000;1222
V. Ibarbo;29;67;Colombia;Sagan Tosu;RM;67;750000;1791
R. Bennett;27;64;England;Peterborough United;CB;64;400000;1583
R. Álvarez;32;71;Argentina;Vélez Sarsfield;CAM;71;1800000;1896
O. Selnæs;25;74;Norway;Norway;CM;77;7000000;2067
Mário Rui;29;79;Portugal;Napoli;LB;79;10500000;2046
A. Almici;27;70;Italy;Hellas Verona;RB;71;1800000;1822
T. Grøgaard;26;66;Norway;SK Brann;LWB;69;700000;1759
S. Jombati;32;63;Portugal;Oldham Athletic;CB;63;240000;1576
J. Derstroff;28;64;Germany;Hallescher FC;LW;64;450000;1625
W. Orban;27;79;Hungary;RB Leipzig;CB;81;13000000;1657
S. Savić;29;81;Montenegro;Atlético Madrid;CB;82;17000000;1680
S. Kroon;27;65;Sweden;Östersunds FK;RM;65;575000;1680
A. Escoboza;27;69;Mexico;Club América;LM;70;1000000;1935
D. Andrade;26;64;Mexico;Santos Laguna;LB;65;450000;1681
J. Meza;34;62;Venezuela;Estudiantes de Mérida;CAM;62;150000;1709
G. Zahid;24;73;Norway;Panathinaikos FC;CAM;77;5000000;1814
Gus Ledes;27;68;Portugal;C.D. Castellón;LWB;69;925000;1948
Oriol Rosell;27;69;Spain;Orlando City SC;CDM;70;1100000;1754
Rafael Lopes;28;69;Portugal;Legia Warszawa;ST;69;1100000;1708
M. Seuntjens;28;70;Netherlands;Fortuna Sittard;RM;70;1800000;1919
P. Olkowski B;30;68;Poland;Gazişehir Gaziantep F.K.;RB;68;700000;1819
S. Schwab;29;71;Austria;PAOK;CDM;71;2000000;1974
P. Hosiner;31;67;Austria;SG Dynamo Dresden;ST;67;675000;1693
M. Pereyra;30;76;Uruguay;Orlando City SC;CAM;76;7000000;2013
L. Melgarejo;29;73;Paraguay;Paraguay;RW;73;3900000;1972
S. Khelifi;26;67;Tunisia;FC Zürich;RM;68;900000;1654
D. Rubio;27;66;Chile;Colorado Rapids;ST;67;750000;1764
J. Campbell;28;74;Costa Rica;Club León;CAM;74;6000000;1988
J. Schoop;31;64;Denmark;Vejle Boldklub;CDM;64;350000;1790
Salvador Agra;28;66;Portugal;CD Tondela;RM;66;650000;1737
R. Ibarra;29;75;Ecuador;Club Atlas;RM;75;6500000;1942
Toño García;30;76;Spain;Levante UD;LB;76;6000000;2032
C. Taylor;26;77;England;Burnley;LB;78;9000000;1972
G. Hall;28;69;England;Middlesbrough;CB;70;1000000;1548
P. Steinhart;27;68;Germany;TSV 1860 München;LB;68;800000;1873
R. Baca;30;71;Mexico;Cruz Azul;CM;71;2200000;1930
M. Jeannin;29;64;Algeria;FC Sochaux-Montbéliard;GK;64;325000;1064
T. Leistner;29;73;Germany;Hamburger SV;CB;73;3400000;1654
S. Yesil;24;63;Germany;KFC Uerdingen 05;ST;68;500000;1530
M. Mandron;25;63;France;Crewe Alexandra;ST;67;475000;1676
M. Koch;25;63;Netherlands;KAS Eupen;CB;66;425000;1433
E. Sala;27;79;Argentina;FC Nantes;ST;79;13500000;1988
G. Mackay-Steven;29;69;Scotland;New York City FC;LW;69;1000000;1724
B. Wilson;27;61;England;Coventry City;GK;64;220000;1055
A. Ba;29;66;Senegal;Rayo Vallecano;CB;66;550000;1523
Vadillo;25;74;Spain;RC Celta;RW;75;6500000;1809
R. Jiménez;29;84;Mexico;Wolverhampton Wanderers;ST;84;31000000;2120
D. Riascos;33;70;Colombia;Universidad Católica;ST;70;1100000;1785
I. Tandia;25;71;Mali;Al Hazem;RW;74;3000000;1842
J. Blackman;26;69;England;Rotherham United;GK;72;950000;1090
T. Kane B;26;69;England;Queens Park Rangers;RB;70;1100000;1760
M. Bueno;26;65;Mexico;Oriente Petrolero;ST;68;675000;1743
T. Nguen;24;68;Norway;Strømsgodset IF;RW;71;1100000;1745
J. White;28;64;Scotland;Motherwell;ST;64;475000;1523
Iván Sánchez;27;73;Spain;Birmingham City;RM;73;4200000;1773
A. Katai;28;73;Serbia;LA Galaxy;RM;73;4000000;1897
Clerc;28;76;Spain;Levante UD;LB;76;6500000;1973
P. Camara;26;64;Senegal;Grenoble Foot 38;GK;66;400000;1018
R. Williams;26;65;Australia;Portsmouth;RM;66;625000;1676
B. Samba;26;75;Congo;Nottingham Forest;GK;79;6500000;1153
B. Mendy;25;81;France;Manchester City;LWB;84;19500000;2035
P. Gouano;26;71;France;Amiens SC;CB;73;2500000;1520
D. Schütz;29;65;Austria;SKN St. Pölten;LM;65;525000;1839
B. Omrani;26;71;France;CFR Cluj;ST;72;2800000;1807
M. Bauer B;28;72;Austria;Stoke City;RB;72;2700000;1881
K. Guthrie;27;61;England;Bradford City;ST;62;300000;1630
D. Zbozień;31;65;Poland;Wisła Płock;RB;65;400000;1775
M. Sabitzer;26;83;Austria;RB Leipzig;CAM;85;31000000;2210
J. Smits;27;66;Netherlands;FK Bodø/Glimt;GK;70;575000;1223
J. Pickford;26;81;England;Everton;GK;84;16000000;1484
J. Egan;27;78;Republic of Ireland;Sheffield United;CB;80;11000000;1761
O. Petrák;27;70;Czech Republic;SG Dynamo Dresden;CDM;71;1800000;1784
Luo Guofu;32;75;China PR;Guangzhou Evergrande Taobao FC;CF;75;5500000;1967
Carvajal;28;86;Spain;Real Madrid;RB;86;38000000;2133
Adrián Ortolá;26;71;Spain;CD Tenerife;GK;74;2100000;1314
F. Thauvin;27;82;France;Olympique de Marseille;RW;82;23000000;2076
I. Piris;31;74;Paraguay;Paraguay;RB;74;4100000;1920
I. Touray;25;66;Gambia;Salford City;LWB;69;700000;1790
M. Koné;28;69;Ivory Coast;KAS Eupen;ST;69;1100000;1735
Adryan;24;71;Brazil;Kayserispor;CAM;74;3000000;1768
J. Grimmer;26;67;Scotland;Wycombe Wanderers;RB;69;800000;1739
S. Maier;26;65;Germany;VfL Bochum 1848;CAM;66;625000;1710
K. Vollmann;26;64;Germany;FC Hansa Rostock;CAM;66;550000;1746
Juan Bernat;27;83;Spain;Paris Saint-Germain;LB;84;25500000;2125
Portu;28;83;Spain;Real Sociedad;RW;83;26000000;2190
D. Pedersen;27;65;Denmark;SK Brann;CDM;65;500000;1790
D. Salazar;28;62;Mexico;Querétaro;ST;62;325000;1481
Diego Oliveira;30;73;Brazil;FC Tokyo;ST;73;3900000;1842
F. Fajr;31;75;Morocco;Sivasspor;CM;75;5500000;2014
W. Kamavuaka;30;66;DR Congo;MSV Duisburg;CB;66;525000;1687
P. Klement;27;70;Germany;VfB Stuttgart;CAM;70;1900000;1848
M. Valoti;26;68;Italy;SPAL;CAM;69;1000000;1767
T. Inui;32;78;Japan;SD Eibar;LM;78;8000000;1948
S. Rodríguez;27;63;Uruguay;Emelec;CM;63;375000;1628
Edigar Junio;29;71;Brazil;Yokohama F. Marinos;RW;71;2400000;1780
F. Hasani;30;67;North Macedonia;HJK Helsinki;RW;67;725000;1840
S. Fraser;25;65;Scotland;Milton Keynes Dons;CAM;70;700000;1750
Ruiz de Galarreta;26;70;Spain;RCD Mallorca;CM;71;2100000;1847
C. Raglan;27;65;England;Cheltenham Town;CB;67;575000;1520
H. Bunn;26;63;England;Kilmarnock;LM;63;400000;1618
E. Huws;26;65;Wales;Ipswich Town;CAM;66;625000;1803
A. Milik;26;81;Poland;Napoli;ST;84;22500000;1955
Tiago Ilori;26;70;Portugal;Sporting CP;CB;71;1800000;1575
P. Gazzaniga;28;77;Argentina;Tottenham Hotspur;GK;80;8000000;1460
R. Alioui;28;72;Morocco;Angers SCO;ST;72;3200000;1742
Denis Suárez;26;78;Spain;RC Celta;CAM;79;12000000;2010
K. Rekik;25;75;Netherlands;Hertha BSC;CB;79;7500000;1748
Ewerton;31;71;Brazil;Hamburger SV;CB;71;1800000;1613
F. Twardzik;22;62;Czech Republic;Bolton Wanderers;CM;69;400000;1680
O. Yokuşlu;26;77;Turkey;RC Celta;CDM;82;10500000;2067
C. Ramírez;23;72;Ecuador;Ecuador;LWB;77;0;1816
O. Lewicki;27;70;Sweden;Malmö FF;CB;71;1800000;1887
M. Borjan;32;75;Canada;Canada;GK;75;0;1332
David Ferreiro;32;72;Spain;SD Huesca;RW;72;2400000;1837
Igor Rossi;31;72;Brazil;Al Faisaly;CB;72;2300000;1585
Sérgio Marakis;28;66;Portugal;FC Argeș;CB;67;650000;1723
L. Toshney;22;59;Scotland;Ross County FC;CB;67;100000;1383
D. McGeouch;27;65;Scotland;Aberdeen;CM;66;550000;1758
M. Wagué;29;71;Mali;Amiens SC;CB;71;2000000;1457
J. Reid;25;61;Northern Ireland;Mansfield Town;ST;64;325000;1557
